init_tom,resp_tom,init_lr,resp_lr,init_canLie,resp_canLie,init_initPoints,resp_respPoints,init_finalPoints,resp_finalPoints,init_gain,resp_gain,nr_offers,outcome_is_PE,passed_time
2,2,0.5,0.5,true,false,850,300,899,799,49,499,1,true,337.982
2,2,0.5,0.5,true,false,350,200,350,200,0,0,0,true,-1.0
2,2,0.5,0.5,true,false,300,200,349,299,49,99,1,true,-1.0
2,2,0.5,0.5,true,false,850,850,849,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,false,300,250,300,250,0,0,0,true,-1.0
2,2,0.5,0.5,true,false,300,250,799,899,499,649,1,true,-1.0
2,2,0.5,0.5,true,false,200,250,298,898,98,648,2,true,-1.0
2,2,0.5,0.5,true,false,250,200,898,798,648,598,2,true,-1.0
2,2,0.5,0.5,true,false,350,200,399,799,49,599,1,true,-1.0
2,2,0.5,0.5,true,false,300,250,298,248,-2,-2,2,true,-1.0
2,2,0.5,0.5,false,true,300,250,398,798,98,548,2,true,181.122
2,2,0.5,0.5,false,true,300,300,298,298,-2,-2,2,true,-1.0
2,2,0.5,0.5,false,true,300,300,848,898,548,598,2,true,-1.0
2,2,0.5,0.5,false,true,300,850,799,899,499,49,1,true,-1.0
2,2,0.5,0.5,false,true,850,250,849,249,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,true,250,250,250,250,0,0,0,true,-1.0
2,2,0.5,0.5,false,true,200,300,298,798,98,498,2,true,-1.0
2,2,0.5,0.5,false,true,300,250,848,848,548,598,2,true,-1.0
2,2,0.5,0.5,false,true,350,850,349,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,true,300,250,348,298,48,48,2,false,-1.0
2,2,0.5,0.5,false,false,300,300,300,300,0,0,0,true,123.234
2,2,0.5,0.5,false,false,200,850,199,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,false,250,250,250,250,0,0,0,true,-1.0
2,2,0.5,0.5,false,false,850,300,849,299,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,false,350,350,899,899,549,549,1,true,-1.0
2,2,0.5,0.5,false,false,300,200,349,249,49,49,1,true,-1.0
2,2,0.5,0.5,false,false,200,300,199,299,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,false,300,300,299,299,-1,-1,1,true,-1.0
2,2,0.5,0.5,false,false,200,300,299,849,99,549,1,true,-1.0
2,2,0.5,0.5,false,false,250,850,799,899,549,49,1,true,-1.0
0,0,0.5,0.5,false,false,200,250,248,898,48,648,2,true,0.197
0,0,0.5,0.5,false,false,350,250,899,299,549,49,1,true,-1.0
0,0,0.5,0.5,false,false,200,250,246,796,46,546,4,true,-1.0
